heap_size,retry_rate,list_size,gc_cycle,total_bytes_allocated,total_time
8000000,15,small,12,48104912,16478661233
8000000,15,medium,24,96226640,40998208826
8000000,15,large,38,144443024,83669110730
8000000,16,small,12,48106064,16600526328
8000000,16,medium,24,96229328,40877108404
8000000,16,large,38,144451184,84293119478
8000000,17,small,12,48108368,16606247025
8000000,17,medium,24,96227792,41129677090
8000000,17,large,38,144445808,83362035815
8000000,18,small,12,48107120,16659460464
8000000,18,medium,24,96225296,41325658555
8000000,18,large,38,144441584,84116983170
8000000,19,small,12,48104432,16667921417
8000000,19,medium,24,96227504,41376452440
8000000,19,large,38,144442160,83481447915
8000000,20,small,12,48103856,16621977960
8000000,20,medium,24,96227984,41362179513
8000000,20,large,38,144448400,83663202855
8000000,21,small,12,48108080,16554253894
8000000,21,medium,24,96228464,41173290487
8000000,21,large,38,144444656,83906106177
8000000,22,small,12,48105968,16578582367
8000000,22,medium,24,96228560,40906078152
8000000,22,large,38,144437936,83875709618
8000000,23,small,12,48105680,16575104999
8000000,23,medium,24,96225008,41523635217
8000000,23,large,38,144444848,83124374847
8000000,24,small,12,48108080,16677517406
8000000,24,medium,24,96228944,40972108920
8000000,24,large,38,144446384,83632353271
8000000,25,small,12,48106640,16571876007
8000000,25,medium,24,96225680,41117486354
8000000,25,large,38,144446480,83614387972
8000000,26,small,12,48107024,16656618435
8000000,26,medium,24,96226736,41401624613
8000000,26,large,38,144447152,84301185345
8000000,27,small,12,48105200,16559987171
8000000,27,medium,24,96231344,41354985258
8000000,27,large,38,144444176,83641739259
8000000,28,small,12,48110192,16588387961
8000000,28,medium,24,96228464,41149801832
8000000,28,large,38,144445328,83885343609
8000000,29,small,12,48105680,16705775648
8000000,29,medium,24,96227792,41291289046
8000000,29,large,38,144449552,83368689232
9000000,5,small,10,48107408,16666181766
9000000,5,medium,22,96224336,41030425875
9000000,5,large,32,144446864,84113046412
9000000,6,small,10,48106832,16664838621
9000000,6,medium,22,96229424,41048296815
9000000,6,large,32,144442832,83605031302
9000000,7,small,10,48108272,16620028300
9000000,7,medium,22,96223952,41291641324
9000000,7,large,32,144443024,83093679592
9000000,8,small,10,48105392,16647640211
9000000,8,medium,22,96229328,41292981285
